_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
84683,2023,M1G,DOG,QUEENSLAND HEEL
84684,2024,M4K,DOG,LABRADOR RETR
84685,2025,M5M,DOG,COCKER SPAN
84686,2025,M2J,DOG,SIBERIAN HUSKY
84687,2023,M4J,DOG,UNKNOWN
84688,2025,M2N,DOG,GOLDEN RETR
84689,2025,M1K,DOG,SIBERIAN HUSKY
84690,2025,M4M,DOG,GOLDEN RETR
84691,2025,M4N,DOG,GOLDEN RETR
84692,2023,M9L,DOG,GERM SHEPHERD
84693,2024,M4C,CAT,DOMESTIC SH
84694,2023,M9A,DOG,GOLDEN RETR
84695,2024,M6H,DOG,GR SWISS MTN
84696,2025,M6S,DOG,PORT WATER DOG
84697,2024,M4N,CAT,DEVON REX
84698,2024,M4G,DOG,UNKNOWN
84699,2025,M4W,DOG,BERNESE MTN DOG
84700,2024,M5M,DOG,PORT WATER DOG
84701,2024,M1T,DOG,CAIRN TERRIER
84702,2023,M4P,DOG,LABRADOR RETR
84703,2023,M3M,DOG,NORW ELKHOUND
84704,2025,M5R,DOG,SHIBA INU
84705,2025,M1C,DOG,LABRADOR RETR
84706,2024,M1V,DOG,ROTTWEILER
84707,2024,M8W,DOG,GERM SHEPHERD
84708,2025,M5A,DOG,BOXER
84709,2025,M4P,DOG,ENG BULLDOG
84710,2023,M9A,DOG,POODLE MIN
84711,2025,M3H,DOG,FRENCH BULLDOG
84712,2023,M5R,DOG,POODLE STND
84713,2025,M6J,DOG,POODLE TOY
84714,2023,M4J,DOG,GOLDEN RETR
84715,2023,M9C,CAT,DOMESTIC LH
84716,2024,M4B,DOG,BOSTON TERRIER
84717,2025,M8V,DOG,QUEENSLAND HEEL
84718,2025,M8V,CAT,DOMESTIC SH
84719,2025,M6E,DOG,BRITTANY
84720,2024,M5S,DOG,GOLDEN RETR
84721,2024,M1V,DOG,BORDER COLLIE
84722,2023,M9C,DOG,BERNESE MTN DOG
84723,2023,M3B,DOG,COCKER SPAN
84724,2023,M9A,DOG,BICHON FRISE
84725,2025,M8W,DOG,LABRADOR RETR
84726,2025,M3A,DOG,COCKER SPAN
84727,2025,M4B,DOG,MALTESE
84728,2025,M8V,CAT,DOMESTIC SH
84729,2024,M1G,DOG,BORDER COLLIE
84730,2023,M3A,DOG,GOLDEN RETR
84731,2024,M1R,DOG,GERM SHEPHERD
84732,2025,M4X,CAT,DOMESTIC SH
84733,2025,M9A,DOG,BOSTON TERRIER
84734,2024,M4V,DOG,ST BERNARD RGH
84735,2025,M4C,CAT,SIAMESE
84736,2025,M1G,DOG,BOXER
84737,2025,M6A,CAT,DOMESTIC SH
84738,2023,M9B,DOG,POMERANIAN
84739,2025,M8V,DOG,AUST SHEPHERD
84740,2023,M1W,DOG,MALTESE
84741,2023,M6S,DOG,YORKSHIRE TERR
84742,2023,M5A,DOG,POODLE STND
84743,2024,M2L,DOG,GERM SHEPHERD
84744,2024,M4J,CAT,DOMESTIC SH
84745,2024,M6P,DOG,POODLE STND
84746,2023,M6P,DOG,POODLE STND
84747,2024,M9M,DOG,UNKNOWN
84748,2023,M9M,DOG,UNKNOWN
84749,2023,M6S,DOG,LABRADOR RETR
84750,2025,M6S,DOG,LABRADOR RETR
84751,2024,M1W,DOG,CHIHUAHUA SH
84752,2025,M1W,DOG,CHIHUAHUA SH
84753,2024,M6K,DOG,GOLDEN RETR
84754,2024,M3C,DOG,SCHNAUZER MIN
84755,2024,M1S,CAT,TURKISH ANGORA
84756,2023,M1S,CAT,TURKISH ANGORA
84757,2025,M1B,DOG,AMER BULLDOG
84758,2025,M6N,CAT,DOMESTIC MH
84759,2024,M4C,CAT,DOMESTIC SH
84760,2024,M4C,CAT,DOMESTIC SH
84761,2024,M4N,DOG,LABRADOR RETR
84762,2025,M4N,DOG,LABRADOR RETR
84763,2025,M3A,CAT,DOMESTIC SH
84764,2025,M5R,DOG,GERM SH POINT
84765,2025,M4M,DOG,POODLE STND
84766,2023,M1K,DOG,AUST CATTLE DOG
84767,2025,M1K,DOG,AUST CATTLE DOG
84768,2025,M4K,DOG,GERM SHEPHERD
84769,2023,M4K,DOG,GERM SHEPHERD
84770,2025,M2N,DOG,POODLE MIN
84771,2024,M2N,DOG,POODLE MIN
84772,2023,M6H,DOG,IRISH SETTER
84773,2023,M6H,DOG,IRISH SETTER
84774,2024,M6H,DOG,IRISH SETTER
84775,2023,M5M,DOG,GOLDEN RETR
84776,2025,M5M,DOG,GOLDEN RETR
84777,2024,M2J,DOG,NS DUCK TOLLING
84778,2023,M9A,DOG,DOBERMAN PINSCH
84779,2024,M9A,DOG,DOBERMAN PINSCH
84780,2023,M4G,DOG,LABRADOR RETR
84781,2023,M4G,DOG,LABRADOR RETR
84782,2025,M4G,DOG,LABRADOR RETR
84783,2025,M4P,DOG,WELSH CORGI PEM
84784,2023,M4C,DOG,DACHSHUND
84785,2025,M4C,DOG,DACHSHUND
84786,2025,M6P,DOG,CATAHOULA
84787,2024,M6P,DOG,CATAHOULA
84788,2023,M1V,DOG,BOXER
84789,2023,M8V,DOG,SHIBA INU
84790,2023,M9W,DOG,GERM SHEPHERD
84791,2025,M5B,DOG,LABRADOR RETR
84792,2025,M8Y,DOG,SCHNAUZER MIN
84793,2023,M8Y,DOG,SCHNAUZER MIN
84794,2024,M5J,DOG,POODLE MIN
84795,2023,M5J,DOG,POODLE MIN
84796,2024,M1C,DOG,BORDER COLLIE
84797,2023,M1C,DOG,BORDER COLLIE
84798,2024,M6K,DOG,GOLDEN RETR
84799,2023,M6K,DOG,GOLDEN RETR
84800,2024,M4C,CAT,DOMESTIC MH
84801,2025,M4C,CAT,DOMESTIC MH
84802,2024,M4C,CAT,DOMESTIC SH
84803,2025,M4C,CAT,DOMESTIC SH
84804,2025,M8V,DOG,GERM SHEPHERD
84805,2024,M4V,DOG,COCKER SPAN
84806,2023,M4V,DOG,COCKER SPAN
84807,2024,M5V,CAT,DOMESTIC LH
84808,2023,M5V,CAT,DOMESTIC LH
84809,2025,M9C,DOG,SHIH TZU
84810,2023,M9C,DOG,SHIH TZU
84811,2024,M4N,DOG,COCKER SPAN
84812,2023,M4N,DOG,COCKER SPAN
84813,2024,M6K,DOG,AMER BULLDOG
84814,2025,M6K,DOG,AMER BULLDOG
84815,2024,M6R,DOG,COCKER SPAN
84816,2023,M6R,DOG,COCKER SPAN
84817,2024,M5V,CAT,DOMESTIC SH
84818,2025,M5V,CAT,DOMESTIC SH
84819,2023,M4M,DOG,CHIHUAHUA SH
84820,2024,M4M,DOG,CHIHUAHUA SH
84821,2025,M2H,DOG,POODLE STND
